timestamp_minute,tower_identifier,tower_position_x_meter,tower_position_y_meter,tower_motion_power_watt,tower_idle_power_watt,tower_to_tower_mesh_comm_power_watt,tower_to_truck_comm_power_watt,total_power_consumption_watt,battery_voltage_volt,battery_percentage_remaining,current_draw_ampere,ampere_hour_used_this_step,battery_energy_remaining_wh,connected_trucks_ids,connected_tower_ids,truck0_x,truck0_y,truck0_distance_to_A,truck0_distance_to_B,truck0_distance_to_C,truck0_connected_tower,truck1_x,truck1_y,truck1_distance_to_A,truck1_distance_to_B,truck1_distance_to_C,truck1_connected_tower,truck2_x,truck2_y,truck2_distance_to_A,truck2_distance_to_B,truck2_distance_to_C,truck2_connected_tower,truck3_x,truck3_y,truck3_distance_to_A,truck3_distance_to_B,truck3_distance_to_C,truck3_connected_tower,truck4_x,truck4_y,truck4_distance_to_A,truck4_distance_to_B,truck4_distance_to_C,truck4_connected_tower,truck5_x,truck5_y,truck5_distance_to_A,truck5_distance_to_B,truck5_distance_to_C,truck5_connected_tower
0.083,C,-85.6,443.2,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4903,,A;B,120.16,162.88,347.73,347.73,347.73,A,750.0,316.96,845.08,845.08,845.08,None,-200.0,437.28,114.55,114.55,114.55,A,250.8,837.28,518.14,518.14,518.14,None,750.0,366.96,839.07,839.07,839.07,None,150.8,787.28,417.46,417.46,417.46,None
0.1,A,-81.06,441.11,4,3,0,203.32,210.32,26.5,99.91,7.9378,0.002205,397.1264,T0;T2,B;C,120.23,163.83,342.64,342.64,342.64,A,750.0,315.94,840.43,840.43,840.43,None,-200.0,436.41,119.03,119.03,119.03,A,251.17,836.41,516.37,516.37,516.37,None,750.0,365.94,834.45,834.45,834.45,None,151.17,786.41,416.13,416.13,416.13,None
0.1,B,-81.06,441.11,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4883,,A;C,120.23,163.83,342.64,342.64,342.64,A,750.0,315.94,840.43,840.43,840.43,None,-200.0,436.41,119.03,119.03,119.03,A,251.17,836.41,516.37,516.37,516.37,None,750.0,365.94,834.45,834.45,834.45,None,151.17,786.41,416.13,416.13,416.13,None
0.1,C,-81.06,441.11,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4883,,A;B,120.23,163.83,342.64,342.64,342.64,A,750.0,315.94,840.43,840.43,840.43,None,-200.0,436.41,119.03,119.03,119.03,A,251.17,836.41,516.37,516.37,516.37,None,750.0,365.94,834.45,834.45,834.45,None,151.17,786.41,416.13,416.13,416.13,None
0.117,A,-80.86,441.02,4,3,0,202.05,209.05,26.5,99.89,7.8901,0.002192,397.0683,T0;T2,B;C,120.32,164.84,341.67,341.67,341.67,A,750.0,314.84,840.39,840.39,840.39,None,-200.0,435.47,119.27,119.27,119.27,A,251.58,835.47,515.86,515.86,515.86,None,750.0,364.84,834.34,834.34,834.34,None,151.57,785.47,415.54,415.54,415.54,None
0.117,B,-80.86,441.02,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4864,,A;C,120.32,164.84,341.67,341.67,341.67,A,750.0,314.84,840.39,840.39,840.39,None,-200.0,435.47,119.27,119.27,119.27,A,251.58,835.47,515.86,515.86,515.86,None,750.0,364.84,834.34,834.34,834.34,None,151.57,785.47,415.54,415.54,415.54,None
0.117,C,-80.86,441.02,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4864,,A;B,120.32,164.84,341.67,341.67,341.67,A,750.0,314.84,840.39,840.39,840.39,None,-200.0,435.47,119.27,119.27,119.27,A,251.58,835.47,515.86,515.86,515.86,None,750.0,364.84,834.34,834.34,834.34,None,151.57,785.47,415.54,415.54,415.54,None
0.133,A,-76.32,438.92,4,3,0,196.31,203.31,26.5,99.88,7.6734,0.002131,397.0118,T0;T2,B;C,120.4,165.92,336.5,336.5,336.5,A,750.0,313.68,835.75,835.75,835.75,None,-200.0,434.48,123.76,123.76,123.76,A,251.99,834.48,514.05,514.05,514.05,None,750.0,363.68,829.74,829.74,829.74,None,151.99,784.48,414.16,414.16,414.16,None
0.133,B,-76.32,438.92,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4844,,A;C,120.4,165.92,336.5,336.5,336.5,A,750.0,313.68,835.75,835.75,835.75,None,-200.0,434.48,123.76,123.76,123.76,A,251.99,834.48,514.05,514.05,514.05,None,750.0,363.68,829.74,829.74,829.74,None,151.99,784.48,414.16,414.16,414.16,None
0.133,C,-76.32,438.92,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4844,,A;B,120.4,165.92,336.5,336.5,336.5,A,750.0,313.68,835.75,835.75,835.75,None,-200.0,434.48,123.76,123.76,123.76,A,251.99,834.48,514.05,514.05,514.05,None,750.0,363.68,829.74,829.74,829.74,None,151.99,784.48,414.16,414.16,414.16,None
0.15,A,-75.78,438.68,4,3,0,194.62,201.62,26.49,99.86,7.61,0.002114,396.9558,T0;T2,B;C,120.48,167.04,335.11,335.11,335.11,A,750.0,312.48,835.36,835.36,835.36,None,-200.0,433.44,124.34,124.34,124.34,A,252.4,833.44,513.36,513.36,513.36,None,750.0,362.48,829.28,829.28,829.28,None,152.4,783.44,413.43,413.43,413.43,None
0.15,B,-75.78,438.68,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4825,,A;C,120.48,167.04,335.11,335.11,335.11,A,750.0,312.48,835.36,835.36,835.36,None,-200.0,433.44,124.34,124.34,124.34,A,252.4,833.44,513.36,513.36,513.36,None,750.0,362.48,829.28,829.28,829.28,None,152.4,783.44,413.43,413.43,413.43,None
0.15,C,-75.78,438.68,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4825,,A;B,120.48,167.04,335.11,335.11,335.11,A,750.0,312.48,835.36,835.36,835.36,None,-200.0,433.44,124.34,124.34,124.34,A,252.4,833.44,513.36,513.36,513.36,None,750.0,362.48,829.28,829.28,829.28,None,152.4,783.44,413.43,413.43,413.43,None
0.167,A,-71.23,436.58,4,3,0,189.08,196.08,26.49,99.85,7.401,0.002056,396.9013,T0;T2,B;C,120.56,168.2,329.87,329.87,329.87,A,750.0,311.25,830.74,830.74,830.74,None,-200.0,432.36,128.83,128.83,128.83,A,252.78,832.36,511.5,511.5,511.5,None,750.0,361.25,824.68,824.68,824.68,None,152.78,782.36,412.01,412.01,412.01,None
0.167,B,-71.23,436.58,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4806,,A;C,120.56,168.2,329.87,329.87,329.87,A,750.0,311.25,830.74,830.74,830.74,None,-200.0,432.36,128.83,128.83,128.83,A,252.78,832.36,511.5,511.5,511.5,None,750.0,361.25,824.68,824.68,824.68,None,152.78,782.36,412.01,412.01,412.01,None
0.167,C,-71.23,436.58,4,3,0,0,7,26.5,100.0,0.2642,7.3e-05,397.4806,,A;B,120.56,168.2,329.87,329.87,329.87,A,750.0,311.25,830.74,830.74,830.74,None,-200.0,432.36,128.83,128.83,128.83,A,252.78,832.36,511.5,511.5,511.5,None,750.0,361.25,824.68,824.68,824.68,None,152.78,782.36,412.01,412.01,412.01,None
0.183,A,-70.4,436.2,4,3,0,187.12,194.12,26.49,99.84,7.3272,0.002035,396.8474,T0;T2,B;C,120.62,169.38,328.15,328.15,328.15,A,750.0,310.0,830.05,830.05,830.05,None,-200.0,431.25,129.69,129.69,129.69,A,253.12,831.25,510.62,510.62,510.62,None,750.0,360.0,823.93,823.93,823.93,None,153.12,781.25,411.13,411.13,411.13,None
0.183,B,-70.4,436.2,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4786,,A;C,120.62,169.38,328.15,328.15,328.15,A,750.0,310.0,830.05,830.05,830.05,None,-200.0,431.25,129.69,129.69,129.69,A,253.12,831.25,510.62,510.62,510.62,None,750.0,360.0,823.93,823.93,823.93,None,153.12,781.25,411.13,411.13,411.13,None
0.183,C,-70.4,436.2,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4786,,A;B,120.62,169.38,328.15,328.15,328.15,A,750.0,310.0,830.05,830.05,830.05,None,-200.0,431.25,129.69,129.69,129.69,A,253.12,831.25,510.62,510.62,510.62,None,750.0,360.0,823.93,823.93,823.93,None,153.12,781.25,411.13,411.13,411.13,None
0.2,A,-65.87,434.09,4,3,0,181.84,188.84,26.49,99.82,7.1279,0.00198,396.795,T0;T2,B;C,120.68,170.57,322.87,322.87,322.87,A,750.0,308.75,825.44,825.44,825.44,None,-200.0,430.11,134.19,134.19,134.19,A,253.4,830.11,508.69,508.69,508.69,None,750.0,358.75,819.34,819.34,819.34,None,153.4,780.11,409.64,409.64,409.64,None
0.2,B,-65.87,434.09,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4767,,A;C,120.68,170.57,322.87,322.87,322.87,A,750.0,308.75,825.44,825.44,825.44,None,-200.0,430.11,134.19,134.19,134.19,A,253.4,830.11,508.69,508.69,508.69,None,750.0,358.75,819.34,819.34,819.34,None,153.4,780.11,409.64,409.64,409.64,None
0.2,C,-65.87,434.09,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4767,,A;B,120.68,170.57,322.87,322.87,322.87,A,750.0,308.75,825.44,825.44,825.44,None,-200.0,430.11,134.19,134.19,134.19,A,253.4,830.11,508.69,508.69,508.69,None,750.0,358.75,819.34,819.34,819.34,None,153.4,780.11,409.64,409.64,409.64,None
0.217,A,-64.8,433.6,4,3,0,179.72,186.72,26.49,99.81,7.0482,0.001958,396.7431,T0;T2,B;C,120.72,171.76,320.9,320.9,320.9,A,750.0,307.52,824.5,824.5,824.5,None,-200.0,428.96,135.28,135.28,135.28,A,253.6,828.96,507.63,507.63,507.63,None,750.0,357.52,818.34,818.34,818.34,None,153.6,778.96,408.62,408.62,408.62,None
0.217,B,-64.8,433.6,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4747,,A;C,120.72,171.76,320.9,320.9,320.9,A,750.0,307.52,824.5,824.5,824.5,None,-200.0,428.96,135.28,135.28,135.28,A,253.6,828.96,507.63,507.63,507.63,None,750.0,357.52,818.34,818.34,818.34,None,153.6,778.96,408.62,408.62,408.62,None
0.217,C,-64.8,433.6,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4747,,A;B,120.72,171.76,320.9,320.9,320.9,A,750.0,307.52,824.5,824.5,824.5,None,-200.0,428.96,135.28,135.28,135.28,A,253.6,828.96,507.63,507.63,507.63,None,750.0,357.52,818.34,818.34,818.34,None,153.6,778.96,408.62,408.62,408.62,None
0.233,A,-60.27,431.49,4,3,0,174.74,181.74,26.49,99.8,6.8604,0.001906,396.6926,T0;T2,B;C,120.74,172.94,315.61,315.61,315.61,A,750.0,306.32,819.88,819.88,819.88,None,-200.0,427.8,139.78,139.78,139.78,A,253.7,827.8,505.61,505.61,505.61,None,750.0,356.32,813.75,813.75,813.75,None,153.7,777.8,407.08,407.08,407.08,None
0.233,B,-60.27,431.49,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4728,,A;C,120.74,172.94,315.61,315.61,315.61,A,750.0,306.32,819.88,819.88,819.88,None,-200.0,427.8,139.78,139.78,139.78,A,253.7,827.8,505.61,505.61,505.61,None,750.0,356.32,813.75,813.75,813.75,None,153.7,777.8,407.08,407.08,407.08,None
0.233,C,-60.27,431.49,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4728,,A;B,120.74,172.94,315.61,315.61,315.61,A,750.0,306.32,819.88,819.88,819.88,None,-200.0,427.8,139.78,139.78,139.78,A,253.7,827.8,505.61,505.61,505.61,None,750.0,356.32,813.75,813.75,813.75,None,153.7,777.8,407.08,407.08,407.08,None
0.25,A,-59.02,430.9,4,3,0,172.59,179.59,26.49,99.78,6.7792,0.001883,396.6427,T0;T2,B;C,120.74,174.1,313.46,313.46,313.46,A,750.0,305.16,818.74,818.74,818.74,None,-200.0,426.63,141.04,141.04,141.04,A,253.68,826.63,504.36,504.36,504.36,None,750.0,355.16,812.56,812.56,812.56,None,153.68,776.63,405.92,405.92,405.92,None
0.25,B,-59.02,430.9,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4708,,A;C,120.74,174.1,313.46,313.46,313.46,A,750.0,305.16,818.74,818.74,818.74,None,-200.0,426.63,141.04,141.04,141.04,A,253.68,826.63,504.36,504.36,504.36,None,750.0,355.16,812.56,812.56,812.56,None,153.68,776.63,405.92,405.92,405.92,None
0.25,C,-59.02,430.9,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4708,,A;B,120.74,174.1,313.46,313.46,313.46,A,750.0,305.16,818.74,818.74,818.74,None,-200.0,426.63,141.04,141.04,141.04,A,253.68,826.63,504.36,504.36,504.36,None,750.0,355.16,812.56,812.56,812.56,None,153.68,776.63,405.92,405.92,405.92,None
0.267,A,-54.5,428.77,4,3,0,167.96,174.96,26.49,99.77,6.6045,0.001835,396.5941,T0;T2,B;C,120.7,175.23,308.18,308.18,308.18,A,750.0,304.06,814.11,814.11,814.11,None,-200.0,425.47,145.54,145.54,145.54,A,253.52,825.47,502.24,502.24,502.24,None,750.0,354.06,807.96,807.96,807.96,None,153.52,775.47,404.31,404.31,404.31,None
0.267,B,-54.5,428.77,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4689,,A;C,120.7,175.23,308.18,308.18,308.18,A,750.0,304.06,814.11,814.11,814.11,None,-200.0,425.47,145.54,145.54,145.54,A,253.52,825.47,502.24,502.24,502.24,None,750.0,354.06,807.96,807.96,807.96,None,153.52,775.47,404.31,404.31,404.31,None
0.267,C,-54.5,428.77,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4689,,A;B,120.7,175.23,308.18,308.18,308.18,A,750.0,304.06,814.11,814.11,814.11,None,-200.0,425.47,145.54,145.54,145.54,A,253.52,825.47,502.24,502.24,502.24,None,750.0,354.06,807.96,807.96,807.96,None,153.52,775.47,404.31,404.31,404.31,None
0.283,A,-53.12,428.12,4,3,0,165.86,172.86,26.49,99.76,6.5254,0.001813,396.5461,T0;T2,B;C,120.64,176.32,305.94,305.94,305.94,A,750.0,303.04,812.81,812.81,812.81,None,-200.0,424.32,146.92,146.92,146.92,A,253.2,824.32,500.8,500.8,500.8,None,750.0,353.04,806.63,806.63,806.63,None,153.2,774.32,403.01,403.01,403.01,None
0.283,B,-53.12,428.12,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4669,,A;C,120.64,176.32,305.94,305.94,305.94,A,750.0,303.04,812.81,812.81,812.81,None,-200.0,424.32,146.92,146.92,146.92,A,253.2,824.32,500.8,500.8,500.8,None,750.0,353.04,806.63,806.63,806.63,None,153.2,774.32,403.01,403.01,403.01,None
0.283,C,-53.12,428.12,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4669,,A;B,120.64,176.32,305.94,305.94,305.94,A,750.0,303.04,812.81,812.81,812.81,None,-200.0,424.32,146.92,146.92,146.92,A,253.2,824.32,500.8,500.8,500.8,None,750.0,353.04,806.63,806.63,806.63,None,153.2,774.32,403.01,403.01,403.01,None
0.3,A,-48.61,425.97,4,3,0,161.61,168.61,26.49,99.75,6.3651,0.001768,396.4993,T0;T2,B;C,120.54,177.35,300.71,300.71,300.71,A,750.0,302.11,808.16,808.16,808.16,None,-200.0,423.19,151.41,151.41,151.41,A,252.71,823.19,498.57,498.57,498.57,None,750.0,352.11,802.02,802.02,802.02,None,152.71,773.19,401.36,401.36,401.36,None
0.3,B,-48.61,425.97,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.465,,A;C,120.54,177.35,300.71,300.71,300.71,A,750.0,302.11,808.16,808.16,808.16,None,-200.0,423.19,151.41,151.41,151.41,A,252.71,823.19,498.57,498.57,498.57,None,750.0,352.11,802.02,802.02,802.02,None,152.71,773.19,401.36,401.36,401.36,None
0.3,C,-48.61,425.97,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.465,,A;B,120.54,177.35,300.71,300.71,300.71,A,750.0,302.11,808.16,808.16,808.16,None,-200.0,423.19,151.41,151.41,151.41,A,252.71,823.19,498.57,498.57,498.57,None,750.0,352.11,802.02,802.02,802.02,None,152.71,773.19,401.36,401.36,401.36,None
0.317,A,-47.17,425.28,4,3,0,159.65,166.65,26.49,99.74,6.2913,0.001748,396.453,T0;T2,B;C,120.4,178.32,298.45,298.45,298.45,A,750.0,301.28,806.75,806.75,806.75,None,-200.0,422.09,152.87,152.87,152.87,A,252.02,822.09,496.96,496.96,496.96,None,750.0,351.28,800.59,800.59,800.59,None,152.02,772.09,399.94,399.94,399.94,None
0.317,B,-47.17,425.28,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4631,,A;C,120.4,178.32,298.45,298.45,298.45,A,750.0,301.28,806.75,806.75,806.75,None,-200.0,422.09,152.87,152.87,152.87,A,252.02,822.09,496.96,496.96,496.96,None,750.0,351.28,800.59,800.59,800.59,None,152.02,772.09,399.94,399.94,399.94,None
0.317,C,-47.17,425.28,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4631,,A;B,120.4,178.32,298.45,298.45,298.45,A,750.0,301.28,806.75,806.75,806.75,None,-200.0,422.09,152.87,152.87,152.87,A,252.02,822.09,496.96,496.96,496.96,None,750.0,351.28,800.59,800.59,800.59,None,152.02,772.09,399.94,399.94,399.94,None
0.333,A,-42.66,423.11,4,3,0,155.81,162.81,26.49,99.73,6.1465,0.001707,396.4078,T0;T2,B;C,120.23,179.2,293.3,293.3,293.3,A,750.0,300.57,802.08,802.08,802.08,None,-200.0,421.02,157.35,157.35,157.35,A,251.13,821.02,494.62,494.62,494.62,None,750.0,350.57,795.98,795.98,795.98,None,151.13,771.02,398.25,398.25,398.25,None
0.333,B,-42.66,423.11,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4611,,A;C,120.23,179.2,293.3,293.3,293.3,A,750.0,300.57,802.08,802.08,802.08,None,-200.0,421.02,157.35,157.35,157.35,A,251.13,821.02,494.62,494.62,494.62,None,750.0,350.57,795.98,795.98,795.98,None,151.13,771.02,398.25,398.25,398.25,None
0.333,C,-42.66,423.11,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4611,,A;B,120.23,179.2,293.3,293.3,293.3,A,750.0,300.57,802.08,802.08,802.08,None,-200.0,421.02,157.35,157.35,157.35,A,251.13,821.02,494.62,494.62,494.62,None,750.0,350.57,795.98,795.98,795.98,None,151.13,771.02,398.25,398.25,398.25,None
0.35,A,-41.2,422.4,4,3,0,154.06,161.06,26.49,99.71,6.0805,0.001689,396.363,T0;T2,B;C,120.0,180.0,291.11,291.11,291.11,A,750.0,300.0,800.61,800.61,800.61,None,-200.0,420.0,158.82,158.82,158.82,A,250.0,820.0,492.83,492.83,492.83,None,750.0,350.0,794.51,794.51,794.51,None,150.0,770.0,396.72,396.72,396.72,None
0.35,B,-41.2,422.4,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4592,,A;C,120.0,180.0,291.11,291.11,291.11,A,750.0,300.0,800.61,800.61,800.61,None,-200.0,420.0,158.82,158.82,158.82,A,250.0,820.0,492.83,492.83,492.83,None,750.0,350.0,794.51,794.51,794.51,None,150.0,770.0,396.72,396.72,396.72,None
0.35,C,-41.2,422.4,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4592,,A;B,120.0,180.0,291.11,291.11,291.11,A,750.0,300.0,800.61,800.61,800.61,None,-200.0,420.0,158.82,158.82,158.82,A,250.0,820.0,492.83,492.83,492.83,None,750.0,350.0,794.51,794.51,794.51,None,150.0,770.0,396.72,396.72,396.72,None
0.367,A,-36.71,420.19,4,3,0,150.63,157.63,26.49,99.7,5.9511,0.001653,396.3192,T0;T2,B;C,119.73,180.73,286.04,286.04,286.04,A,748.63,300.0,794.49,794.49,794.49,None,-200.0,418.98,163.29,163.29,163.29,A,248.57,818.98,490.32,490.32,490.32,None,750.0,348.57,789.97,789.97,789.97,None,148.57,768.98,394.94,394.94,394.94,None
0.367,B,-36.71,420.19,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4572,,A;C,119.73,180.73,286.04,286.04,286.04,A,748.63,300.0,794.49,794.49,794.49,None,-200.0,418.98,163.29,163.29,163.29,A,248.57,818.98,490.32,490.32,490.32,None,750.0,348.57,789.97,789.97,789.97,None,148.57,768.98,394.94,394.94,394.94,None
0.367,C,-36.71,420.19,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4572,,A;B,119.73,180.73,286.04,286.04,286.04,A,748.63,300.0,794.49,794.49,794.49,None,-200.0,418.98,163.29,163.29,163.29,A,248.57,818.98,490.32,490.32,490.32,None,750.0,348.57,789.97,789.97,789.97,None,148.57,768.98,394.94,394.94,394.94,None
0.383,A,-35.28,419.49,4,3,0,149.06,156.06,26.49,99.69,5.8922,0.001637,396.2759,T0;T2,B;C,119.4,181.4,283.93,283.93,283.93,A,747.02,300.0,791.38,791.38,791.38,None,-200.0,417.91,164.72,164.72,164.72,A,246.8,817.91,488.17,488.17,488.17,None,750.0,346.8,788.64,788.64,788.64,None,146.8,767.91,393.13,393.13,393.13,None
0.383,B,-35.28,419.49,4,3,0,0,7,26.5,99.99,0.2642,7.3e-05,397.4553,,A;C,119.4,181.4,283.93,283.93,283.93,A,747.02,300.0,791.38,791.38,791.38,None,-200.0,417.91,164.72,164.72,164.72,A,246.8,817.91,488.17,488.17,488.17,None,750.0,346.8,788.64,788.64,788.64,None,146.8,767.91,393.13,393.13,393.13,None
